cilk_workers,avg_parlaytime_orig,avg_parlaytime_test
1.0,9.260499999999999,10.234270000000002
2.0,5.948079999999999,6.64011
4.0,2.49796,2.69049
8.0,1.3729,1.39622
16.0,0.7662399999999999,0.77222
32.0,0.67173,0.69796
