cilk_workers,i$_miss_orig,i$_hit_orig,i$_miss_rate_orig,i$_miss_test,i$_hit_test,i$_miss_rate_test
1.0,61516812.0,31969141677.0,0.001920560328821406,60360348.0,35905289059.0,0.0016782777176338724
2.0,68566784.0,32591480254.0,0.0020994086113906227,63974463.0,36085673281.0,0.001769711933378888
4.0,71210941.0,32711373578.0,0.002172218635133171,67820111.0,36183582631.0,0.0018708272196437039
8.0,77525659.0,32945358848.0,0.00234763438013922,73126988.0,36410863223.0,0.0020043582836493596
14.0,86513410.0,33339528724.0,0.0025882038218339068,82705173.0,36782894832.0,0.002243424031855792
28.0,128419686.0,34545136841.0,0.0037036779281640953,122871494.0,37933409764.0,0.0032286784188660204
