cilk_workers,i$_miss_orig,i$_hit_orig,i$_miss_rate_orig,i$_miss_test,i$_hit_test,i$_miss_rate_test
1.0,63847796.0,38382155740.0,0.0016607134715631577,54981413.0,26017866720.0,0.0021087612952576085
2.0,65681604.0,38653568689.0,0.0016963552626398472,59567712.0,26743558530.0,0.0022224165741777727
4.0,70289760.0,38889362475.0,0.0018041680550950636,65531592.0,26893672943.0,0.0024307687533926714
8.0,75618097.0,39134602143.0,0.0019285302795330587,69183715.0,27190214044.0,0.0025379766498017445
14.0,84572907.0,39546420499.0,0.0021340092622355498,79617289.0,27570257363.0,0.0028794810103864627
28.0,123790009.0,40681036461.0,0.003033709972789893,115625879.0,28835356402.0,0.003993849945322344
