cilk_workers,i$_miss_orig,i$_hit_orig,i$_miss_rate_orig,i$_miss_test,i$_hit_test,i$_miss_rate_test
1.0,102347301.0,78075179294.0,0.0013091652480924849,58329694.0,24970755356.0,0.0023304764790033745
2.0,173647893.0,52570034557.0,0.0032922974834875226,62183822.0,25568247517.0,0.002426171498151079
4.0,186019086.0,57412383578.0,0.0032295875822310805,66569851.0,25898242510.0,0.0025638487224344474
8.0,197127814.0,56738776262.0,0.0034622759961248184,70853303.0,26097233982.0,0.002707622541469217
14.0,239170568.0,60349262352.0,0.003947462518395169,82430042.0,26464778235.0,0.0031050361732919327
28.0,310548509.0,74403815020.0,0.004156476671041468,122864889.0,28125504678.0,0.004349450636738053
