cilk_workers,i$_miss_orig,i$_hit_orig,i$_miss_rate_orig,i$_miss_test,i$_hit_test,i$_miss_rate_test
1.0,63768893.0,28430361192.0,0.0022379659533304894,60288362.0,26977952982.0,0.0022297442068427453
2.0,65968734.0,29101586016.0,0.0022617162996839838,64133087.0,27745370157.0,0.0023061572311197953
4.0,71886037.0,30083173005.0,0.0023838798292477904,67139449.0,28596026291.0,0.002342359863841055
8.0,77010783.0,30476911914.0,0.0025204875905364995,71665957.0,29059723888.0,0.0024600939873213935
14.0,90783452.0,30948394766.0,0.0029248020473478117,84944838.0,29435127294.0,0.0028775281313733344
28.0,126562933.0,32027652672.0,0.003936122546255471,120914457.0,30600800524.0,0.0039357977598184265
