cilk_workers,i$_miss_orig,i$_hit_orig,i$_miss_rate_orig,i$_miss_test,i$_hit_test,i$_miss_rate_test
1.0,66283030.0,34758223379.0,0.001903344421354667,58797017.0,34094459881.0,0.001721563983651677
2.0,68281327.0,35121134741.0,0.0019403938635427543,64040333.0,34039419749.0,0.0018778250900647131
4.0,74157508.0,35360875981.0,0.002092773752366299,67590456.0,34257880168.0,0.0019691050048631083
8.0,79782330.0,35663532645.0,0.0022320909533937263,74302037.0,34862622059.0,0.002126748101688408
14.0,92003750.0,36057653202.0,0.002545079476747561,83092330.0,34850436610.0,0.002378583914116293
28.0,131201023.0,37277576938.0,0.0035072255804982936,121988581.0,36174927467.0,0.003360852498837066
