cilk_workers,i$_miss_orig,i$_hit_orig,i$_miss_rate_orig,i$_miss_test,i$_hit_test,i$_miss_rate_test
1.0,63926721.0,18577776205.0,0.0034292318278948634,58916154.0,31041591329.0,0.0018943791843976966
2.0,66537812.0,18726724572.0,0.0035405141821809624,63062391.0,31571303525.0,0.001993477320438541
4.0,70171830.0,18911349763.0,0.003696849573212189,65371162.0,31798102843.0,0.002051601843218413
8.0,75281957.0,19257209903.0,0.003894063814699571,71720933.0,32007543879.0,0.0022357411686433383
14.0,85637615.0,19757939490.0,0.004315633947793708,83576742.0,32527501354.0,0.0025628328433045986
28.0,127065104.0,21280861945.0,0.005935423065912186,126099607.0,34373309808.0,0.0036551236423535164
