cilk_workers,i$_miss_orig,i$_hit_orig,i$_miss_rate_orig,i$_miss_test,i$_hit_test,i$_miss_rate_test
1.0,65105646.0,18567175317.0,0.0034942391717518026,58975178.0,24595442450.0,0.0023920734567675185
2.0,67278442.0,18741856984.0,0.003576902418757671,60761792.0,25059035463.0,0.002418880669425212
4.0,71563713.0,18948348352.0,0.0037625680263627444,64029109.0,25261634869.0,0.0025282302195757263
8.0,77645600.0,19293568339.0,0.004008298098637813,69097289.0,25523231917.0,0.0026999218572024493
14.0,85368122.0,19693374150.0,0.004316155235050125,80462712.0,25892641729.0,0.0030979243233236727
28.0,128814819.0,21339327992.0,0.006000277720064213,119444293.0,27117143852.0,0.004385435222800737
