cilk_workers,i$_miss_orig,i$_hit_orig,i$_miss_rate_orig,i$_miss_test,i$_hit_test,i$_miss_rate_test
1.0,67632044.0,38339744409.0,0.0017609128830437795,55434350.0,26159831592.0,0.0021145827825148067
2.0,67293623.0,38571167339.0,0.0017416227594101552,60791264.0,26715821216.0,0.002270311976371404
4.0,69632306.0,38886774514.0,0.0017874416991726036,65100749.0,26991614783.0,0.0024060846898806064
8.0,75073820.0,39131327504.0,0.0019148357784636546,69618901.0,27306924497.0,0.0025430128262681267
14.0,84688149.0,39500965220.0,0.002139364688781929,81520634.0,27747149552.0,0.0029293758363276466
28.0,134407692.0,41552386961.0,0.003224227075235858,116479121.0,28857235236.0,0.004020165297579765
