cilk_workers,i$_miss_orig,i$_hit_orig,i$_miss_rate_orig,i$_miss_test,i$_hit_test,i$_miss_rate_test
1.0,3890574.0,878081248.0,0.004411222561711274,3026002.0,10561458672.0,0.0002864315764920575
2.0,4441437.0,930018081.0,0.0047529474679715335,3916820.0,10624554617.0,0.00036852147773241457
4.0,5383458.0,1016969219.0,0.005265754295080699,4916552.0,10711974232.0,0.0004587666422186803
8.0,6406531.0,1172144099.0,0.005435940414371506,5797751.0,10898289870.0,0.0005317043664280731
14.0,7239327.0,1299222878.0,0.005541168334065967,6877613.0,11112727792.0,0.0006185123257078384
28.0,10436499.0,1773067984.0,0.005851680833706096,10083471.0,12131425962.0,0.0008304956690634892
