prs,sp_name,linkage_name,temp_file
defef,"free_buffer",_ZN6parlay17sequence_internal13sequence_baseISt4pairIPciENS_9allocatorIS4_EELb0EE12storage_impl18capacitated_buffer11free_bufferERNS5_ISt4byteEE,./parlay/internal/sequence_base.h
defef,"seq_count_sort<parlay::uninitialized_copy_tag, char *const *, char **, parlay::delayed_sequence<unsigned long, unsigned long, (lambda at ./parlay/internal/collect_reduce.h:305:35)>::iterator>",_ZN6parlay8internal14seq_count_sortINS_22uninitialized_copy_tagEPKPcPS3_NS_16delayed_sequenceImmZNS0_22collect_reduce_sparse_IS2_NS_5sliceIS5_S5_EENS_19count_by_key_helperIS3_mRZ10wordCountsRKNS_8sequenceIcNS_9allocatorIcEELb1EEEbE3$_3RZ10wordCountsSH_bE3$_4EEEEDaT0_RKT1_EUlmE_E8iteratorEEENSC_ImNSD_ImEELb0EEENS9_ISN_SN_EENS9_ISO_SO_EENS9_IT2_SY_EEm,./parlay/internal/counting_sort.h
both,"free_buffer",_ZN6parlay17sequence_internal13sequence_baseImNS_9allocatorImEELb0EE12storage_impl18capacitated_buffer11free_bufferERNS2_ISt4byteEE,./parlay/internal/sequence_base.h
defef,"uninitialized",_ZN6parlay8sequenceIjNS_9allocatorIjEELb0EE13uninitializedEm,./parlay/sequence.h
defef,"parallel_for<(lambda at ./parlay/internal/counting_sort.h:150:16)>",_ZN6parlay12parallel_forIZNS_8internal11count_sort_INS_22uninitialized_copy_tagEjPKPcPS4_NS_16delayed_sequenceImmZNS1_22collect_reduce_sparse_IS3_NS_5sliceIS6_S6_EENS_19count_by_key_helperIS4_mRZ10wordCountsRKNS_8sequenceIcNS_9allocatorIcEELb1EEEbE3$_3RZ10wordCountsSI_bE3$_4EEEEDaT0_RKT1_EUlmE_E8iteratorEEESt4pairINSD_ImNSE_ImEELb0EEEbENSA_ISP_SP_EENSA_IT2_S10_EENSA_IT3_S12_EEmfbEUlmE_EEvmmT_lb,./parlay/internal/scheduler_plugins/opencilk.h
both,"uninitialized",_ZN6parlay8sequenceImNS_9allocatorImEELb0EE13uninitializedEm,./parlay/sequence.h
defef,"parallel_for<(lambda at ./parlay/internal/counting_sort.h:160:16)>",_ZN6parlay12parallel_forIZNS_8internal11count_sort_INS_22uninitialized_copy_tagEjPKPcPS4_NS_16delayed_sequenceImmZNS1_22collect_reduce_sparse_IS3_NS_5sliceIS6_S6_EENS_19count_by_key_helperIS4_mRZ10wordCountsRKNS_8sequenceIcNS_9allocatorIcEELb1EEEbE3$_3RZ10wordCountsSI_bE3$_4EEEEDaT0_RKT1_EUlmE_E8iteratorEEESt4pairINSD_ImNSE_ImEELb0EEEbENSA_ISP_SP_EENSA_IT2_S10_EENSA_IT3_S12_EEmfbEUlmE0_EEvmmT_lb,./parlay/internal/scheduler_plugins/opencilk.h
both,"scan_<parlay::slice<unsigned long *, unsigned long *>, parlay::slice<unsigned long *, unsigned long *>, parlay::plus<unsigned long> >",_ZN6parlay8internal5scan_INS_5sliceIPmS3_EES4_NS_4plusImEEEEDaRKT_T0_OT1_jb,./parlay/internal/delayed/../sequence_ops.h
both,"uninitialized",_ZN6parlay8sequenceIPPcNS_9allocatorIS2_EELb0EE13uninitializedEm,./parlay/sequence.h
defef,"parallel_for<(lambda at ./parlay/internal/counting_sort.h:182:16)>",_ZN6parlay12parallel_forIZNS_8internal11count_sort_INS_22uninitialized_copy_tagEjPKPcPS4_NS_16delayed_sequenceImmZNS1_22collect_reduce_sparse_IS3_NS_5sliceIS6_S6_EENS_19count_by_key_helperIS4_mRZ10wordCountsRKNS_8sequenceIcNS_9allocatorIcEELb1EEEbE3$_3RZ10wordCountsSI_bE3$_4EEEEDaT0_RKT1_EUlmE_E8iteratorEEESt4pairINSD_ImNSE_ImEELb0EEEbENSA_ISP_SP_EENSA_IT2_S10_EENSA_IT3_S12_EEmfbEUlmE1_EEvmmT_lb,./parlay/internal/scheduler_plugins/opencilk.h
